Simulation Time,A,B,C,D,E,F,G,H,I,J
0.000000,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
1.000000,8849,9849,150,8999,1,13576,14576,6678,15254,3746
2.000000,8853,9853,146,8999,1,18574,19574,4098,17672,1328
